iter	Logloss
0	0.6924126094
1	0.6917336885
2	0.6910390129
3	0.6903021474
4	0.6896543426
5	0.6889273745
6	0.6882361903
7	0.6877169087
8	0.6870779663
9	0.6863450038
10	0.6856607404
11	0.68500241
12	0.6842523416
13	0.6836296939
14	0.6830606418
15	0.6823758806
16	0.6816746205
17	0.6810130186
18	0.6803398978
19	0.6797471885
20	0.6793325027
21	0.6786373536
22	0.6779595575
23	0.6775819086
24	0.6769013832
25	0.6762326132
26	0.6755312762
27	0.6751654478
28	0.6745070882
29	0.6738346987
30	0.6731818102
31	0.6726049617
32	0.6720871257
33	0.6717041178
34	0.6711239243
35	0.6704626011
36	0.6698749052
37	0.669241258
38	0.6685806234
39	0.6679767386
40	0.6673336975
41	0.6666546675
42	0.6660955809
43	0.6654474806
44	0.6648534152
45	0.6642696007
46	0.6636960516
47	0.6631249075
48	0.6626276206
49	0.6620982248
50	0.6614631987
51	0.6608438238
52	0.6601862391
53	0.6596775676
54	0.65902682
55	0.6584090889
56	0.6577470213
57	0.657408374
58	0.656748991
59	0.6561135698
60	0.655489644
61	0.6548829668
62	0.654548645
63	0.6539078361
64	0.6533234506
65	0.6527195757
66	0.6520921798
67	0.6516006655
68	0.6510085912
69	0.6503933918
70	0.6497944865
71	0.6492551459
72	0.648677086
73	0.6480484731
74	0.6474169836
75	0.6469519989
76	0.6463486715
77	0.6457281016
78	0.6451310741
79	0.6445084084
80	0.6440171215
81	0.6434406915
82	0.6428694464
83	0.6422950509
84	0.6417167837
85	0.6410847308
86	0.6405150808
87	0.6400222069
88	0.6394756769
89	0.6389278329
90	0.6384018284
91	0.6377802134
92	0.6372163336
93	0.6366753862
94	0.6360840421
95	0.6357431046
96	0.6352147091
97	0.6349096071
98	0.6342807613
99	0.6337126124
100	0.6331583751
101	0.6326009831
102	0.6320551591
103	0.631555697
104	0.6310740836
105	0.6304697525
106	0.629938356
107	0.6293348292
108	0.6288436478
109	0.6283419532
110	0.6277500389
111	0.627260268
112	0.6267974972
113	0.6262869047
114	0.6259949755
115	0.6254188926
116	0.6249345455
117	0.6245002547
118	0.6239184345
119	0.6233743262
120	0.6228056742
121	0.6223572195
122	0.6218080937
123	0.6213129813
124	0.6207489884
125	0.6203235458
126	0.6197435802
127	0.6191650746
128	0.6186068628
129	0.618065824
130	0.6175672218
131	0.6171482983
132	0.61670149
133	0.616160055
134	0.6155926349
135	0.6151687897
136	0.6146232198
137	0.6140999634
138	0.613612935
139	0.6133091371
140	0.6127457262
141	0.6122059192
142	0.611775232
143	0.6113140723
144	0.6107906772
145	0.6103765485
146	0.609972852
147	0.6094831536
148	0.609159045
149	0.6086385159
150	0.6081698205
151	0.6077853489
152	0.6072361096
153	0.6067471999
154	0.6063511596
155	0.6058052971
156	0.6053581269
157	0.6048075559
158	0.604308845
159	0.6038033699
160	0.603383867
161	0.6029950351
162	0.6025049733
163	0.6020308689
164	0.6015072544
165	0.601222209
166	0.6007260778
167	0.6002337358
168	0.5997688421
169	0.5993118137
170	0.5987953511
171	0.5983189736
172	0.597802152
173	0.5973202987
174	0.5968107315
175	0.5963841277
176	0.5959087366
177	0.5954575504
178	0.594939059
179	0.5945011926
180	0.5939972874
181	0.5935086109
182	0.5930697765
183	0.592652207
184	0.5921979863
185	0.5917367204
186	0.5914767525
187	0.5911018214
188	0.5906255514
189	0.5901867889
190	0.5897296779
191	0.5892656909
192	0.5888728275
193	0.588435208
194	0.5879448221
195	0.5874838208
196	0.5871283543
197	0.5866352188
198	0.5861737666
199	0.585718204
200	0.5854852175
201	0.5850232241
202	0.5846062807
203	0.5841343964
204	0.5836373831
205	0.5832326669
206	0.5827672351
207	0.5823992438
208	0.5820434119
209	0.5815619739
210	0.5811700161
211	0.5807180775
212	0.5803346478
213	0.5800064431
214	0.5796189338
215	0.5792185828
216	0.5788282536
217	0.5785536571
218	0.5781091177
219	0.5776271203
220	0.5772822739
221	0.5768676606
222	0.5764650019
223	0.5760125056
224	0.5755926136
225	0.5751707802
226	0.5746935802
227	0.574376998
228	0.5739925082
229	0.5737764911
230	0.5733496482
231	0.5729762463
232	0.5725556751
233	0.5721258407
234	0.5717620248
235	0.5712935728
236	0.5708745159
237	0.5704493264
238	0.5701894617
239	0.5698245199
240	0.5693882742
241	0.5690549891
242	0.5686352111
243	0.5682272259
244	0.5677899363
245	0.5673894635
246	0.5669542153
247	0.5665210093
248	0.5662159037
249	0.5657978951
250	0.565593476
251	0.565172172
252	0.564772047
253	0.56442975
254	0.5640243718
255	0.5636043349
256	0.5632399876
257	0.5629084131
258	0.5625331594
259	0.5621369582
260	0.5617138857
261	0.5613466955
262	0.5609300813
263	0.5605410002
264	0.5601678779
265	0.5597364813
266	0.5593468241
267	0.5590044454
268	0.5586057641
269	0.5581824987
270	0.5578107096
271	0.5574735524
272	0.5571050383
273	0.556735113
274	0.5564005434
275	0.5560081052
276	0.5556128422
277	0.5552283828
278	0.5548568619
279	0.5544464073
280	0.5540385513
281	0.553655537
282	0.5533697069
283	0.5530406811
284	0.5526631132
285	0.5523027858
286	0.5519321977
287	0.551593955
288	0.5513043317
289	0.5509089291
290	0.5506286476
291	0.55022375
292	0.5498952843
293	0.549692579
294	0.5493472738
295	0.5490481488
296	0.5486740911
297	0.5483522778
298	0.5479698575
299	0.5476010149
300	0.5472054712
301	0.5469085047
302	0.5465075582
303	0.5461890729
304	0.5457996142
305	0.5453964999
306	0.5452199387
307	0.5448468
308	0.5444655316
309	0.5441270914
310	0.543869802
311	0.5435319065
312	0.5432650564
313	0.5430915928
314	0.5428087301
315	0.5425895488
316	0.5422236108
317	0.541859906
318	0.5415069312
319	0.5411560341
320	0.5408223531
321	0.5404473029
322	0.5400719466
323	0.5397744536
324	0.5393935896
325	0.5390379197
326	0.5387240511
327	0.5385567752
328	0.5382283689
329	0.537869985
330	0.5376614908
331	0.537332516
332	0.537079653
333	0.5367431898
334	0.5363899862
335	0.5361047445
336	0.5357693341
337	0.535469216
338	0.5351541226
339	0.5348464213
340	0.5345109289
341	0.5341532534
342	0.5339923255
343	0.533669378
344	0.5334026855
345	0.5330718796
346	0.5327414417
347	0.5323782374
348	0.5320556153
349	0.531798203
350	0.5314409088
351	0.5311129835
352	0.530762997
353	0.5305028756
354	0.5301990283
355	0.5298681195
356	0.5295723683
357	0.5293128613
358	0.5291585125
359	0.5289167456
360	0.5285689853
361	0.5282412415
362	0.5278850407
363	0.5275950289
364	0.5273289549
365	0.5269883978
366	0.5266810523
367	0.5264123636
368	0.5261115091
369	0.5258614022
370	0.5255686234
371	0.5252639654
372	0.5249986064
373	0.5246866981
374	0.5243688946
375	0.5240419527
376	0.5237420706
377	0.5234458324
378	0.5231993541
379	0.5229534871
380	0.5227092007
381	0.5224473531
382	0.5221868167
383	0.5218692044
384	0.5215708607
385	0.5213301381
386	0.5210707596
387	0.5208226273
388	0.5205188996
389	0.5203312661
390	0.5199823362
391	0.5196988403
392	0.5193770352
393	0.5190932248
394	0.51877312
395	0.51852624
396	0.5182535706
397	0.5181140472
398	0.5178727832
399	0.5176301845
400	0.5173128508
401	0.5170812761
402	0.5168238237
403	0.5165596865
404	0.5163484902
405	0.5160945941
406	0.515809829
407	0.5155303467
408	0.5152556712
409	0.5150734645
410	0.51479895
411	0.5144937843
412	0.5141948231
413	0.5139265138
414	0.5137929677
415	0.5135581891
416	0.5133475656
417	0.5132149786
418	0.5129020634
419	0.5126556435
420	0.5124325783
421	0.5121395585
422	0.511892092
423	0.5115873954
424	0.5112875055
425	0.511014762
426	0.5107532279
427	0.5105340629
428	0.5102838921
429	0.510089087
430	0.5098354053
431	0.5095600735
432	0.5093527931
433	0.5090993757
434	0.5088440871
435	0.5086157788
436	0.508348551
437	0.5080660067
438	0.5078211083
439	0.5075411264
440	0.5072658971
441	0.5069593822
442	0.50667512
443	0.5063982968
444	0.506206854
445	0.505996165
446	0.5056994948
447	0.5054775766
448	0.5052413841
449	0.5049737876
450	0.5046961794
451	0.5044476947
452	0.5041727419
453	0.5039686605
454	0.503813644
455	0.5036018314
456	0.5034454124
457	0.5032256742
458	0.5030300277
459	0.5027585796
460	0.5025094228
461	0.5022592338
462	0.5020528784
463	0.5018353651
464	0.5016212299
465	0.5013610216
466	0.501131171
467	0.5009502143
468	0.5008329645
469	0.5005947817
470	0.500337037
471	0.5000861613
472	0.4998223023
473	0.4995475612
474	0.4993517348
475	0.4991208316
476	0.4988967204
477	0.4986618108
478	0.4984171607
479	0.4981849035
480	0.497921397
481	0.4976592305
482	0.4973827975
483	0.4971544571
484	0.4968814385
485	0.4966700053
486	0.4964585062
487	0.4962106445
488	0.4960398668
489	0.4958054078
490	0.4955601432
491	0.49532646
492	0.4950785088
493	0.4948734295
494	0.494684778
495	0.4944592752
496	0.4942361332
497	0.4939976762
498	0.4937984175
499	0.4936051002
500	0.493367739
501	0.4932220939
502	0.4930086138
503	0.4927628901
504	0.4926570231
505	0.4924983384
506	0.4922815865
507	0.4920635139
508	0.491871108
509	0.4916214897
510	0.4915172054
511	0.4914131492
512	0.491173716
513	0.4909709345
514	0.4908463371
515	0.4905787622
516	0.4903136153
517	0.4900998645
518	0.4899073163
519	0.4896590177
520	0.4894748075
521	0.489290492
522	0.4890665723
523	0.4887997794
524	0.4885979256
525	0.4883385951
526	0.488175123
527	0.4880346039
528	0.4878737807
529	0.4876652728
530	0.4874751621
531	0.4872759441
532	0.4870911474
533	0.4869435122
534	0.4867828829
535	0.4866028718
536	0.486385184
537	0.4861604407
538	0.4860512711
539	0.4858676322
540	0.4856493016
541	0.4853936272
542	0.4852378181
543	0.4849850129
544	0.4848892606
545	0.4846495575
546	0.484423267
547	0.484328233
548	0.4841744762
549	0.48393598
550	0.4836879067
551	0.4835157912
552	0.48331895
553	0.4830833857
554	0.4829018256
555	0.4827551658
556	0.4826059382
557	0.4824753618
558	0.4823130831
559	0.4821049885
560	0.4818490841
561	0.4816682616
562	0.481451314
563	0.4812596368
564	0.4810679537
565	0.4808369279
566	0.4806033525
567	0.4803509854
568	0.4801231821
569	0.4799397043
570	0.4797511979
571	0.4795694118
572	0.4793383
573	0.4791002998
574	0.4789346732
575	0.4787199423
576	0.4785055346
577	0.4782879187
578	0.4780868593
579	0.4779222179
580	0.4777339595
581	0.4775109055
582	0.4773148165
583	0.4771153333
584	0.4770155584
585	0.4768348742
586	0.4766161363
587	0.4763950425
588	0.4762372101
589	0.476039837
590	0.4758501111
591	0.475627759
592	0.47540604
593	0.4751881105
594	0.4750600416
595	0.4748884921
596	0.4747335983
597	0.4745594087
598	0.474371138
599	0.4741870553
600	0.4739800628
601	0.4737867557
602	0.4737042948
603	0.4734963133
604	0.4733075878
605	0.4731256721
606	0.472927651
607	0.47275335
608	0.472587014
609	0.4724000185
610	0.4722320639
611	0.4720576569
612	0.4718516893
613	0.4717091841
614	0.471566431
615	0.4714155642
616	0.4713349253
617	0.471133851
618	0.4710275819
619	0.4708444024
620	0.4706370304
621	0.470470799
622	0.4702766256
623	0.4700697488
624	0.4698819382
625	0.4696945776
626	0.469482912
627	0.4693513425
628	0.4691489589
629	0.4689555567
630	0.4688245183
631	0.4686138878
632	0.4684576425
633	0.4683161652
634	0.4681811527
635	0.4680264538
636	0.4678034871
637	0.4675975998
638	0.4674918256
639	0.4672892392
640	0.4670822379
641	0.4668730258
642	0.4667656624
643	0.4666321
644	0.4664169355
645	0.4662480558
646	0.4660754616
647	0.4658923646
648	0.4656923566
649	0.4655470583
650	0.4654042209
651	0.4652132951
652	0.4650376092
653	0.4648339522
654	0.4646594066
655	0.4645077495
656	0.464367004
657	0.4642008184
658	0.4640459719
659	0.4638790781
660	0.4636830711
661	0.4635477124
662	0.4633639204
