iter	Passed	Remaining
0	6	6085
1	8	4362
2	11	3714
3	13	3455
4	16	3255
5	18	3145
6	21	3055
7	23	2954
8	26	2951
9	31	3153
10	36	3313
11	41	3403
12	46	3515
13	51	3602
14	53	3514
15	56	3456
16	58	3402
17	61	3342
18	63	3293
19	67	3294
20	70	3278
21	75	3341
22	80	3435
23	83	3411
24	88	3461
25	93	3508
26	98	3549
27	101	3512
28	103	3472
29	106	3436
30	110	3467
31	113	3424
32	115	3383
33	117	3339
34	120	3309
35	122	3284
36	125	3259
37	127	3233
38	130	3212
39	132	3187
40	135	3167
41	140	3206
42	144	3216
43	150	3277
44	154	3289
45	157	3265
46	160	3249
47	162	3224
48	164	3200
49	167	3177
50	170	3165
51	173	3168
52	180	3228
53	187	3276
54	189	3259
55	192	3243
56	195	3230
57	197	3204
58	199	3187
59	202	3171
60	205	3157
61	210	3177
62	212	3158
63	214	3141
64	217	3123
65	219	3107
66	222	3099
67	224	3081
68	227	3069
69	230	3060
70	233	3058
71	236	3044
72	240	3051
73	245	3069
74	253	3120
75	257	3135
76	263	3155
77	267	3167
78	270	3157
79	273	3143
80	276	3132
81	278	3122
82	281	3111
83	290	3170
84	293	3159
85	296	3147
86	298	3134
87	301	3119
88	303	3111
89	306	3102
90	309	3092
91	312	3080
92	317	3094
93	322	3104
94	330	3149
95	333	3143
96	338	3148
97	340	3133
98	344	3136
99	347	3125
100	349	3114
101	352	3103
102	355	3091
103	358	3092
104	361	3080
105	363	3068
106	366	3056
107	368	3045
108	371	3037
109	374	3030
110	377	3022
111	379	3008
112	383	3006
113	385	2995
114	387	2984
115	390	2975
116	392	2963
117	394	2952
118	397	2943
119	400	2936
120	402	2927
121	405	2916
122	407	2903
123	409	2892
124	411	2883
125	413	2870
126	416	2861
127	418	2850
128	420	2838
129	422	2828
130	425	2819
131	427	2808
132	429	2799
133	431	2788
134	433	2775
135	434	2761
136	436	2749
137	438	2737
138	439	2725
139	441	2710
140	443	2699
141	444	2688
142	446	2675
143	448	2663
144	449	2652
145	451	2640
146	452	2628
147	454	2617
148	457	2610
149	459	2605
150	462	2600
151	464	2590
152	466	2583
153	469	2576
154	470	2566
155	473	2560
156	475	2553
157	478	2547
158	480	2541
159	482	2533
160	484	2524
161	486	2515
162	488	2508
163	490	2500
164	492	2494
165	494	2484
166	496	2477
167	498	2470
168	501	2463
169	504	2461
170	507	2458
171	509	2453
172	512	2448
173	514	2441
174	516	2436
175	518	2428
176	520	2420
177	522	2414
178	525	2408
179	527	2403
180	529	2397
181	532	2391
182	534	2385
183	536	2378
184	538	2373
185	541	2367
186	542	2359
187	544	2352
188	547	2347
189	549	2341
190	551	2336
191	556	2341
192	560	2342
193	562	2338
194	564	2330
195	566	2323
196	567	2315
197	571	2313
198	573	2307
199	575	2300
200	576	2291
201	578	2285
202	580	2278
203	582	2272
204	584	2266
